date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:45	1426/1426	---M--	200	added ('OK')	application/javascript	etag:%22592-5b83cfce57d00%22	https://redgranitesite.github.io/wp-includes/js/wp-embed.min.js?ver=5.7.2	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-includes/js/wp-embed.min9f31.js	(from https://redgranitesite.github.io/)
13:49:48	40638/40638	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2011:49:45%20GMT	https://redgranitesite.github.io/careers/	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/careers/index.html	(from https://redgranitesite.github.io/)
13:49:51	43254/43254	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2011:49:48%20GMT	https://redgranitesite.github.io/about-us/	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/about-us/index.html	(from https://redgranitesite.github.io/)
13:49:53	37660/37660	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2011:49:51%20GMT	https://redgranitesite.github.io/contacts-us/	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/contacts-us/index.html	(from https://redgranitesite.github.io/)
13:49:58	139383/139383	---M--	200	added ('OK')	image/jpeg	etag:%2222077-5c5a85fcf980d%22	https://redgranitesite.github.io/wp-content/uploads/2021/06/IMG_8972-1024x683.jpg	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/uploads/2021/06/IMG_8972-1024x683.jpg	(from https://redgranitesite.github.io/)
13:50:00	167931/167931	---M--	200	added ('OK')	image/jpeg	etag:%2228ffb-5c5a85fbeca5f%22	https://redgranitesite.github.io/wp-content/uploads/2021/06/IMG-20191230-WA0202.jpg	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/uploads/2021/06/IMG-20191230-WA0202.jpg	(from https://redgranitesite.github.io/)
13:50:11	76548/76548	---M--	200	added ('OK')	font/woff2	etag:%2212b04-5c5a85ea58651%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.woff2	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:15	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22207aa-5c5a85ea54fc6%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.eot	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:21	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22207aa-5c5a85ea54fc6%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:21	715890/715890	---M--	200	added ('OK')	image/svg+xml	etag:%22aec72-5c5a85ea572dc%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.svg	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:27	89824/89824	---M--	200	added ('OK')	font/woff	etag:%2215ee0-5c5a85ea5826b%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.woff	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:29	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-5c5a85ea58e1c%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.eot	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:30	13600/13600	---M--	200	added ('OK')	font/woff2	etag:%223520-5c5a85ea5a196%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.woff2	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:33	16800/16800	---M--	200	added ('OK')	font/woff	etag:%2241a0-5c5a85ea59db1%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.woff	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:34	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-5c5a85ea58e1c%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:35	144322/144322	---M--	200	added ('OK')	image/svg+xml	etag:%22233c2-5c5a85ea595e6%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.svg	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:39	132728/132728	---M--	200	added ('OK')	font/ttf	etag:%2220678-5c5a85ea57e86%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-brands-400.ttf	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:39	34092/34092	---M--	200	added ('OK')	font/ttf	etag:%22852c-5c5a85ea599cb%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-regular-400.ttf	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:41	442364/442364	---M--	200	added ('OK')	image/jpeg	etag:%226bffc-5c5a85fcfbf02%22	https://redgranitesite.github.io/wp-content/uploads/2021/06/IMG_8972.jpg	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/uploads/2021/06/IMG_8972.jpg	(from https://redgranitesite.github.io/)
13:50:51	76120/76120	---M--	200	added ('OK')	font/woff2	etag:%2212958-5c5a85ea61676%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-solid-900.woff2	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:57	99004/99004	---M--	200	added ('OK')	font/woff	etag:%22182bc-5c5a85ea60eac%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-solid-900.woff	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:57	849240/849240	---M--	200	added ('OK')	image/svg+xml	etag:%22cf558-5c5a85ea5f74b%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-solid-900.svg	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:50:59	614/614	---M--	200	added ('OK')	image/svg+xml	etag:%22266-5c5a85ea6e10b%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/images/sort.svg	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/images/sort.svg	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/css/front.css?ver=5.7.2)
13:50:59	1733/1733	---M--	200	added ('OK')	image/svg+xml	etag:%226c5-5c5a85ea68f3c%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/images/loader.svg	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/images/loader.svg	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/css/front.css?ver=5.7.2)
13:51:01	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-5c5a85f399ab8%22	https://redgranitesite.github.io/wp-content/plugins/wp-job-manager/assets/dist/images/ajax-loader-ea183bf26ae76dec039869d4bc7060cb.gif	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/wp-job-manager/assets/dist/images/ajax-loader-ea183bf26ae76dec039869d4bc7060cb.gif	(from https://redgranitesite.github.io/wp-content/plugins/wp-job-manager/assets/dist/css/job-listings.css?ver=d866e43503c5e047c6b0be0a9557cf8e)
13:51:07	194078/194078	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f61e-5c5a85ea5ad46%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-solid-900.eot	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:51:11	194078/194078	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f61e-5c5a85ea5ad46%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/webfonts/fa-solid-900d41d.eot	(from https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2)
13:51:14	5871/5871	---M--	200	added ('OK')	application/json	date:Tue,%2029%20Jun%202021%2011:51:12%20GMT	https://redgranitesite.github.io/wp-json/wp/v2/pages/16	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-json/wp/v2/pages/16.json	(from https://redgranitesite.github.io/business-units/)
